N,Title,Nchar
716,Risk Factors for Hypogammaglobulinemia and Association with Relapse and Severe Infections in ANCA-Associated Vasculitis: A Retrospective Single-Centre Cohort Study,163
717,Real-World Outcomes for Remission Induction in Working-Age Adults with Severe Anti-Neutrophil Cytoplasmic Antibody-associated Vasculitis,136
718,Avacopan in ANCA-associated Vasculitis Received Intensified Induction Therapy with Cyclophosphamide Plus Rituximab – Retrospective Case Serial of 12 Patients,157
719,"Remission, Glucocorticoid Toxicity, Health-Related Quality of Life, and Safety Outcomes in Patients with Renal Involvement in the Phase 3 Trial of Avacopan for the Treatment of ANCA-Associated Vasculitis",203
720,Report on Twelve Patients with Diffuse Alveolar Hemorrhage in the Phase 3 Trial of Avacopan for the Treatment of ANCA-Associated Vasculitis,139
721,Efficacy and Safety of Avacopan in Patients with ANCA-Associated Vasculitis Receiving Rituximab in a Phase 3 Trial,114
722,Safety and Efficacy of Avacopan in Patients 65 Years and Older with ANCA-Associated Vasculitis,94
723,Avacopan for the Treatment of ANCA-associated Vasculitis. Real World Experience in Spain,88
724,Efficacy and Safety Experience with Avacopan Beyond 52 Weeks in the Early Access Program (EAP),94
725,Use of Avacopan in Patients with ANCA-associated Vasculitis and Estimated Glomerular Filtration Rate < 15 mL/min/1.73m2,119
726,Treating Patients with ANCA-Associated Vasculitis and Very Severe Renal Injury with an Intensified B Cell Depletion Therapy: Comparison with a Control Cohort Receiving a Conventional Therapy,190
727,Recognizing the New Disorder “Idiopathic Hypocryoglobulinaemia” in Patients with Previously Unidentified Clinical Conditions,124
728,Behçet’s Disease-Associated TCR in the Eye Points to HLA Class I-Restricted Autoimmunity,88
729,Comparison of the Cardiovascular Risk in Patients with Vasculitis and Diabetes Mellitus,87
730,Off-label Use of Biologics in Urticarial Vasculitis: A European Cohort Study,76
731,Impact and Cardiovascular Outcomes of Large Vessel Vasculitis in Atrial Fibrillation Hospitalization: A Nationwide Inpatient Database Study,139
732,Association of Large-vessel Vasculitis with Inflammatory Bowel Diseases: A European Case-control Study,102
733,Alterations in Composition and Function of Gut Microbiota in Patients with Large-Vessel Vasculitis,98
734,"Differentiating Large Vessel Vasculitis from Vasculitis Mimickers in a Real World Setting: Clinical Presentation, Laboratory Tests and Radiographic Findings",156
735,T Cell Subset Analysis in Patients with Large-Vessel Vasculitis,63
736,A Population-Based Study of Vasculitis Among Farmers and Urban Residents in Alberta,83
737,Incidence of Neurobehçet Disease in Northern Spain 1999-2019. a Population-based Study,86
738,Large Vessel Vasculitis Increases Risk of Acute Myocardial Infarction in Patients Admitted for Congestive Heart Failure : A Nationwide Inpatient Database Study,159
739,Cardiovascular Disease-Related Mortality in Primary Systemic Vasculitis,71
740,Clinical Characteristics and Outcomes in Patients Found to Have Clinically Isolated Aortitis After Aortic Aneurysm Repair: A Single-Center Experience,149
741,Sleep Disturbances in Patients with Vasculitis: Results of the Vasculitis Patient-Powered Research Network Sleep Study (SleepVasc),130
742,Aortitis and Periaortitis Spectrum in 135 Patients from a Single Referral Centre,80
743,Prevalence and Distribution of Vascular Calcifications at CT Scan in Patients with Large Vessel Vasculitis and Patients with Lymphoma: A Matched Cross-sectional Study,166
744,NFKB1 and NFKBIA: Relevant Players in the Pathogenesis of IgA Vasculitis?,73
745,Survival of Adults with IgA Vasculitis,38
746,The Association of IgA Vasculitis and Malignancy in Adults: A Systematic Review,79
747,IgA Vasculitis in a Diverse Adult Patient Population,52
748,Clinical and Histologic Prognostic Factors of Renal Progression in Adults with IgA Vasculitis,93
749,IgG4-Related Disease as a Potencial Etiology of Idiopathic Constrictive Pericarditis,84
750,Single Center Experience of Rituximab Treatment for IgG4-RD Disease in a Large Multi-ethnic Cohort,98
751,Glucocorticoid Toxicity in Patients with IgG4-Related Disease Within the First Year of Treatment,96
752,Efficacy of Immunosuppressants for Disease Relapse in Patients with IgG4-related Disease at Our Institution,107
753,Mitochondria-mediated Platelet Activation in Polymyalgia Rheumatica,67
754,Clinical and Economic Burden of Polymyalgia Rheumatica in Patients with an Inadequate Response to Glucocorticoids in a Real-World Setting,137
755,Polymyalgia Rheumatica Following SarsCOV-2 Vaccination: A Single Center Cohort Study,84
756,Cognitive Function and Its Associated Factors in Polymyalgia Rheumatica,71
757,Characterization of Numeric Rating Scales for Symptom Assessment in Polymyalgia Rheumatica,90
758,Acute Cardiovascular Events in Autoimmune Rheumatic Disease Pregnancies,71
759,Investigating the Effects and Molecular Mechanisms of TRAF5 on the Pathogenesis of SLE Associated Pulmonary Arterial Hypertension,129
760,Synovial Macrophage Subsets Defined by ScRNAseq Demonstrate Sexually Dimorphic Gene Expression in RA and a Mouse Inflammatory Arthritis Model,141
761,Real-life Use of the PEXIVAS Reduced-dose Glucocorticoid Regimen in Granulomatosis with Polyangiitis and Microscopic Polyangiitis,129
762,Expert Consensus Recommendations for Musculoskeletal Ultrasound Education in Canadian Rheumatology Residency Training Programs,126
763,A Novel Active Pemphigus Vulgaris Mouse Model Induced by Immunization with TLR Ligand Adjuvanted Recombinant Desmoglein 3 Protein Vaccine,137
764,Systemic Lupus Erythematosus B Lymphocyte Responsiveness to Type I and Type III Interferon Is Determined by Donor IFN Status and B Cell Phenotype,145
765,ROCK1 Orchestrates B-cell Differentiation Under Stress,54
766,NF-κB Signaling Is Critically Important for Functional Responses of ACPA-producing B Cell Clones from Patients with Rheumatoid Arthritis,136
767,ZEB2 Acts as a Crucial Transcriptional Regulator Governing Age-Associated B Cell Formation and Pathogenicity in Systemic Lupus Erythematosus,140
768,Should Complete B-cell Depletion Be Maintained in Patients Treated Long-term with Rituximab for Rheumatoid Arthritis?,117
769,Global Identification of Lupus Genetic Risk Variants Facilitating the Type I Interferon Pathway Through CRISPR-based Genomic Screening,134
770,Immune Isoform Atlas: Landscape of Alternative Splicing in Human Immune Cells and Involvement of Dysregulated Alternative Splicing in Autoimmune Diseases,153
771,Deep Immunophenotyping Reveals Circulating Activated Lymphocytes in Individuals at Risk for Rheumatoid Arthritis,112
772,Deciphering Complement System-dependent Cellular Pathways in Human Rheumatoid Arthritis Synovial Tissue Using Large Single-cell Computational Omics,147
773,Unraveling Pathophysiology and Hematopoiesis of VEXAS Syndrome by Multi-omics Analysis and Targeted Gene Editing,112
774,A Genome-wide Association Study Suggests New Susceptibility Loci for Primary Antiphospholipid Syndrome,102
775,Major Adverse Cardiovascular Event and Venous Thromboembolism Risk Comparing Advanced Therapies Among Individuals with Axial Spondylarthritis and Psoriatic Arthritis,165
776,Renal Arteriosclerosis in Index Lupus Nephritis Biopsies Predicts Future Cardiovascular Disease,95
777,Adverse Events Among Patients with and Without Autoimmune Rheumatic Disease Prescribed SGLT2 Inhibitors,103
778,Risk of Incident Gout Associated with Initiation of Sodium-glucose cotransporter-2 Inhibitors versus Other Second-line Agents Among Metformin Users with Type 2 Diabetes,168
779,Risk and Temporal Trends of Heart Failure Subtypes in Rheumatoid Arthritis: A National Veterans Affairs Matched Cohort Study,124
780,Personalizing Cardiovascular Risk Prediction for Patients with Systemic Lupus Erythematosus,91
781,Artificial Intelligence Models for Computer-Assisted Joint Detection and Sharp-van Der Heijde Score Prediction in Hand Radiographs from Patients with Rheumatoid Arthritis,170
782,The Association Between Sonographic Imaging Phenotype and Response to Treatment in Patients with Psoriatic Arthritis,116
783,Clinical Phenotype of Patients with Subclinical Giant Cell Arteritis in Polymyalgia Rheumatica,94
784,Assessment of Myositis-related Interstitial Lung Disease by ⁶⁸ Ga-DATA.SA.FAPi PET/CT,85
785,Impact of Sprifermin on Denuded Areas of Subchondral Bone (dABs): A Post Hoc Analysis of the FORWARD Study,106
786,Multispectral Optoacoustic Tomography of the Entheses Reveals Common Metabolic and Architectural Tissue Patterns in Psoriasis and Psoriatic Arthritis Independent of Inflammation,177
787,Recombinant Zoster Vaccination Among U.S. Veterans Receiving Immunosuppressive Medications 2017-2023,100
788,Tuberculosis Screening Among New Users of a Biologic or Targeted Synthetic DMARD: Gaps in Coverage Overall and Among JAKi Initiators,132
789,Facility Variation in HLA-B*58:01 Allele Testing for Asian and Black Patients Receiving Allopurinol in the Veterans Affairs Healthcare System,141
790,Towards a Guide for Evidence-based Remote Monitoring: Sensitivity of Patient Reported Outcomes to Change in Disease Activity Status in Early and Established Rheumatoid Arthritis,177
791,Changes in Rheumatology Providers’ Perceptions of Telehealth Appropriateness from 2021 to 2022,94
792,Validation of Quantitative Effusion-synovitis Volume Measured by Deep-learning: Data from the Osteoarthritis Initiative,119
793,"Identification of 23 Novel COPA Rare Exonic Non-Synonymous Variants and Their Associated Autoimmune and Inflammatory Clinical Phenotypes Among 53,364 Individuals",161
794,Clinical and Biological Characteristics of Children and Adults Affected with Still’s Disease: A Systematic Review and Meta-analysis Informing the 2023 EULAR/PReS Recommendations for the Diagnosis and Management of Systemic Juvenile Idiopathic Arthritis and Adult-onset Still’s Disease,284
795,"Derivation and Validation of Four Patient Clusters in Still’s Disease, Results from GIRRCS AOSD-study Group and AIDA Network Still Disease Registry",147
796,Treatment Patterns and Outcomes in Patients with Macrophage Activation Syndrome Secondary to Still’s Disease Treated with Emapalumab: The REAL-HLH Study,152
797,EULAR / PreS Recommendations for the Diagnosis and Management of Systemic Juvenile Idiopathic Arthritis (sJIA) and Adult Onset Still’s Disease (AOSD),149
798,Liver Disease Is a Common Feature of HA20 That Causes Significant Morbidity Associated with Interferon Induction,112
799,Sticking the Landing: A 3-Year Qualitative Longitudinal Study on Navigating Transitions in Pediatric Rheumatology Fellowship,124
800,"An Atypical ClassRheum: RheumMadness, a Collaborative Rheumatology Competition Building Knowledge and Community",111
801,RheumMadness and TheMednet: The Impact of a Collaboration Between Independent Educational Initiatives,101
802,The OMERACT GCA Phantom Project: Validation of 3D Printed Ultrasound Training Models for Giant Cell Arteritis,109
803,Current Musculoskeletal Ultrasound Practices of 12 Years of past Participants of a 10-Months Rheumatology Ultrasound Training Program (Ultrasound School of North American Rheumatologists),187
804,Using Participatory Design-Thinking Process to Create a More Applicant-Centered Rheumatology Fellowship Interview Experience,124
805,"Development and Validation of a Combined Clinical and Genetic Risk Score for Interstitial Lung Disease in a Large, Multicenter, Prospective Rheumatoid Arthritis Cohort",167
806,"Plasma Matrix Metalloproteinases in Rheumatoid Arthritis-Interstitial Lung Disease: Associations with Disease Presence, Severity, and Subtypes",142
807,A Modified Idiopathic Pulmonary Fibrosis-Derived Composite Biomarker Score Is Associated with Interstitial Lung Disease Among U.S. Veterans with Rheumatoid Arthritis,165
808,MUC5B Promoter Variant and Survival in Rheumatoid Arthritis-Associated Interstitial Lung Disease,96
809,Sputum Lautropia Abundance Is Decreased in Rheumatoid Arthritis-Associated Pulmonary Fibrosis and Correlates with Lung Disease Severity,135
810,Deciphering Rheumatoid Arthritis-associated Interstitial Lung Disease Phenotypes Using Unsupervised Hierarchical Clustering Analysis: Results from a Large Collaborative International Study,188
811,Effectiveness of Dose Reduction and Withdrawal Strategies of TNF Inhibitors in Psoriatic Arthritis and Axial Spondyloarthritis: Long Term Extension of the DRESS-PS Study,169
812,"Efficacy and Safety of Intravenous Secukinumab for the Treatment of Active Psoriatic Arthritis: 16- and 52-Week Results from a Randomized, Double-Blind, Phase 3 Study",166
813,Characteristics of Difficult-To-Treat Psoriatic Arthritis: A Comparative Analysis,81
814,The Effect of Probiotic Modulation of Enteral Dysbiosis on Disease Activity in Patients with Psoriatic Arthritis – A Randomized Controlled Trial,144
815,"Influence of Sex on the Persistence of Different Classes of Targeted Therapies for Psoriatic Arthritis: A Cohort Study of 14,778 Patients from the French Health Insurance Database (SNDS)",186
816,Assessing Differential Effects of DMARDs on Psoriasis Area and Severity Index and Patient Global Assessment in Subgroups of Patients with Active PsA Treated over 52-weeks with Secukinumab in a Non-Interventional Trial (AQUILA) Using a Multistage Clustering Approach,265
817,Low vs. High Initial Oral Glucocorticoid Dose for Lupus Nephritis Induction Treatment: A Pooled Analysis of Randomized Controlled Clinical Trials,145
818,"Comparison of Dual-immunosuppressive Therapy with a Voclosporin-based, Triple-immunosuppressive Regimen for Lupus Nephritis in the ALMS and AURORA 1 Studies",156
819,Tolerability of CAR T Cell Therapy in Autoimmune Disease,56
820,Kidney-Related Outcomes and Steroid-Sparing Effects in Patients with Active Lupus Nephritis Treated with Obinutuzumab: A Post Hoc Analysis of a Phase 2 Trial,157
821,Therapeutic Range of Hydroxychloroquine Blood Levels May Reduce Odds of High Lupus Disease Activity,99
822,A Retrospective Analysis of the Efficacy of the Euro-Lupus Nephritis Cyclophosphamide Regimen versus NIH Regimen in a South Carolina Lupus Nephritis Cohort,155
823,Understanding Distinct Resident and Migratory Fibroblast Populations in Systemic Sclerosis Skin Through Single-cell RNAseq and Immunohistochemistry,147
824,Whole Exome Sequencing and Evolutionary Action Missense Mutation Analysis Identifies MICB as a New SSc Susceptibility Locus and the Interferon Pathway as Contributors to SSc Pathogenesis,186
825,Telomere Length of Peripheral Blood Cells Predicts More Severe Pulmonary Disease and Worse Survival in Systemic Sclerosis,121
826,Transcriptomic Analyses of Lung Tissues Reveals Potential Key Genes Associated with Progression of Systemic Sclerosis-Interstitial Lung Disease (SSc-ILD),153
827,"Expression of TL1A, Inflammatory, and Fibrotic Pathways in Patients with Diffuse Systemic Sclerosis",99
828,Single Cell RNA-seq of Myeloid Cells from Systemic Sclerosis Patients Identifies Circulating Monocyte Population with Interferon Signature Associated with Interstitial Lung Disease,180
829,The Dual Specificity Phosphatase 6 (DUSP6) Regulates Arthritis Severity and IL10 Production,91
830,Microbiota-dependent Indole Production Is Required for the Development of Collagen-induced Arthritis,100
831,The Focal Adhesion Protein Lasp1 Links the Arp2/3 Complex to Cell-to-cell Contact Formation in Arthritic Fibroblast-like Synoviocytes,133
832,Role of Group 2 Innate Lymphoid Cells in the Pathogenesis of Rheumatoid Arthritis,81
833,Innate Lymphoid Cells Enhance Development of CD4+ T-cell Driven Autoimmune Arthritis,84
834,"A Novel 3D Model of Rheumatoid Arthritis Synovial Tissue Incorporating Fibroblasts, Endothelial Cells and Macrophages",117
835,Human Chimeric Antigen Receptor (CAR)-Tregs Targeting OX40L for Treatment of Systemic Lupus Erythematosus,105
836,CD4+ CD96+ T Cells Are Pathogenic Effector Cells in Giant Cell Arteritis,72
837,LncRNA PIGL-217 Regulates Th17 Differentiation by Targeting miR-5008-5p and Suppressing FoxO1 in Behçet’s Disease,113
838,Targeting Fibroblasts in Inflammatory Disease Using Engineered T Cells,70
839,IL10 Inhibits Toll-like Receptor-9-induced T Cell Receptor-mediated T Cell Activation in Macrophage Activation Syndrome,119
840,Mutated NOD2 Controls IL-2 Production in Blau Syndrome Patients and Mice,72
841,De-escalation of Anti-TNFs in Older Adults with Rheumatoid Arthritis,68
842,Effectiveness of a Technology-enabled Self-monitoring and Physical Therapist Counselling Program for Improving Self-management Ability in People with Rheumatoid Arthritis: A Randomized Controlled Trial,201
843,Inferring Disease Activity Scores and Low Disease Activity at Registry Visits Based on Structured and Narrative Data from Electronic Health Records,147
844,Real-World Disease Monitoring Patterns in Rheumatoid Arthritis-Associated Interstitial Lung Disease in the Veterans Affairs Health Care System,142
845,Underserved by Rehabilitation: Characteristics Among Adults with Rheumatoid Arthritis,85
846,Telehealth Utilization and Satisfaction Among Patients with Rheumatic Diseases: Trends Since the Onset of the COVID-19 Pandemic,127
847,Comparative Effectiveness of Sodium-glucose cotransporter-2 Inhibitors for Recurrent Gout Flares and Gout-primary Emergency Department Visits and Hospitalizations: A General Population Cohort Study,197
848,Length of Synovial Fluid Monosodium Urate Crystals According to Sonographic Articular Deposits: Advancing in the Crystallization Process,136
849,Sonographic Crystal Deposits and Power-Doppler Signal in Patients with Gout Fulfilling Remission Criteria: A Multicenter Study Enrolling 115 Participants,153
850,"Treat-to-target Urate-lowering Therapy Reduces Gout Flare Burden: Post-hoc Analysis of a Multicenter, Randomized, Double-blind, Non-inferiority Trial",149
851,Intermittent Fasting Reduces Crystal-induced Inflammation,57
852,"Additive Association of ABCG2 rs4148155 and SLC22A12 rs75786299 Polymorphisms with Hyperuricemia, Gout and Nephrolithiasis, a Hospital-Based, Case-Control Study",160
853,Comparative Effectiveness of Yoga and Strengthening Exercise for Treating Knee OsteoArthritis: A Randomised Controlled Trial (YOGA Trial),137
854,"Efficacy of XT-150, a Novel Non-Viral Gene Therapy Delivering IL-10v, on Moderate to Severe Pain Due to Osteoarthritis of the Knee: Results of a Phase 2 Trial",158
855,Regression to the Mean for Physical Function and Quality of Life in Trials for Symptomatic Knee Osteoarthritis,110
856,Radiographic and Pain Outcomes from a Phase 3 Extension Study Evaluating the Safety and Efficacy of Lorecivivint in Subjects with Severe Osteoarthritis of the Knee (OA-07): 36 Month Single Blind and Placebo Crossover Phase Results,230
857,Effects of Sprifermin on a Novel Outcome of Osteoarthritis Symptom Progression: Post Hoc Analysis of the FORWARD Study,118
858,From Biomarkers to Endotypes: Data-driven Identification of Knee Osteoarthritis Patients Subtypes,97
859,Sleep Disturbance Predicts Pain Interference in Patients with Early Rheumatoid Arthritis in a Prospective Real-World Cohort,123
860,"Defining Poor Global Functioning and Health in Axial Spondyloarthritis, Using the EQ-5D-3L Questionnaire, When the ASAS-Health Index Is Not Available Is Feasible. an Analysis of 2651 Patients from the PERSPA Study",213
861,A Revised Outcome Measure for Dermatomyositis Clinical Trials: The Dermatomyositis Outcomes for Muscle and Skin (DMOMS),119
862,Development of a Decision Aid for Clinical Trial Participation in Systemic Lupus Erythematosus,94
863,Development and Initial Validation of a Brief Measure of Uncertainty in Rheumatic Disease,89
864,Item Reduction and Validation of the Cutaneous Lupus Erythematosus Quality of Life Questionnaire,96
865,Decreased History of Breastfeeding During Infancy in Juvenile Spondyloarthritis: A Case-Control Study,101
866,The Upregulation of MAP Kinase Pathway Genes Is Associated with Poor Treatment Response to Tofacitinib in Polyarticular Course Juvenile Idiopathic Arthritis,156
867,Two- and Three-Year Outcomes from the Childhood Arthritis and Rheumatology Research Alliance Start Time Optimization of Biologic Therapy in Polyarticular JIA (STOP-JIA) Study,174
868,Cumulative Social Disadvantage Is Associated with Disease Activity and Functional Disability in Juvenile Idiopathic Arthritis: An Analysis of the CARRA Registry,160
869,Machine Learning Detected Healthcare Encounter Patterns Leading to Diagnosis of Juvenile Arthritis in a Population-Based Canadian Cohort,136
870,Characterization of the Youngest Cohort with Non-Systemic Juvenile Idiopathic Arthritis: Demographics and Medication Use of Patients ≤2 Years of Age in the Childhood Arthritis and Rheumatology Research Alliance Registry,219
871,Abatacept in Individuals at Risk of Developing Rheumatoid Arthritis: Results from the Arthritis Prevention in the Pre-clinical Phase of RA with Abatacept (APIPPRA) Trial,169
872,Vagotomy and Subsequent Risk of Rheumatoid Arthritis and Osteoarthritis: A Danish Register-Based Cohort Study,109
873,"A Randomized, Double-Blind, Sham-Controlled, Clinical Trial of Auricular Vagus Nerve Stimulation for the Treatment of Active Rheumatoid Arthritis",145
874,Infusion of Etanercept into the Peripheral Lymphatics Significantly Reduces Disease Activity in Rheumatoid Arthritis Patients with Inadequate Response to Subcutaneous Injections,177
875,"Efficacy and Safety of Nipocalimab in Patients with Moderate to Severe Active Rheumatoid Arthritis (RA): The Multicenter, Randomized, Double-blinded, Placebo-controlled Phase 2a IRIS-RA Study",191
876,Head-to-Head Comparison of TLL-018 and Tofacitinib in Patients with Active Rheumatoid Arthritis: Final Results from a Phase IIa Study,133
877,Spondyloarthritis Research and Treatment Network (SPARTAN) Draft Referral Recommendations for Axial Spondyloarthritis,117
878,Low Rate of Switching from Nr-axSpA to r-axSpA After 10 Years of Follow up in Early Axialspondyloarthritis. Data from DESIR Cohort,130
879,Predictive Validity of Data-driven Definitions for Active and Structural Lesions in the SI Joints Typical for Axial SpA: A 2-year Follow-up in the SPondyloArthritis Caught Early Cohort,184
880,"Facet Joint Inflammation Is Rare, but When Present It Is Associated with Facet Joint Ankylosis in Radiographic Axial Spondyloarthritis Patients from the SIAS Cohort",164
881,The Yield of Repeated Assessments in Chronic Back Pain Patients Suspected of Early Axial Spondyloarthritis: Two-year Data from the SPondyloArthritis Caught Early (SPACE) Cohort,176
882,Preosteoclast Plays a Pathogenic Role in Syndesmophyte Formation of Ankylosing Spondylitis Through the Secreted PDGFB – GRB2/ERK/RUNX2 Pathway,142
883,Development of an IFN 5-Gene Signature Score to Identify IFN-high and IFN-low Subsets and as a Pharmacodynamic Biomarker for Deucravacitinib Treatment in a Phase 2 Trial in Patients with Systemic Lupus Erythematosus,215
884,"Performance of Serum MRP8/14, sCD14, IL-6 and Neutrophil CD64 in Isolation and in Combination for Differentiating Flare from Bacterial Infection in Febrile SLE Patients",168
885,Multiplex Profiling and Machine Learning Reveal Distinct Signatures of Circulating Cytokines Associated with Autoantibody Profiles and Disease Severity in Systemic Lupus Erythematosus,183
886,Persistence of Urinary Biomarkers of Intrarenal Inflammation Precedes Loss of Kidney Function in Lupus Nephritis,112
887,Lupus Nephritis Flares Linked to Platelet Activation During Gut Pathobiont Blooms,81
888,Screening for Specific Antinuclear Antibodies Using an Artificial Intelligence-enabled Antinuclear Antibody HEp-2 Substrate by Indirect Immunofluorescence Assay,160
889,Early Experience with Avacopan for ANCA-Associated Vasculitis in a Large Integrated Healthcare System,101
890,Long-term Efficacy of Remission-induction Regimens for Eosinophilic Granulomatosis with Polyangiitis,100
891,Real-world Experience with Avacopan in ANCA Vasculitis: A Multi-center Retrospective Cohort Analysis,100
892,Dupilumab for Relapsing or Refractory Eosinophilic Granulomatosis with Polyangiitis: A European Retrospective Study,115
893,Change in Albuminuria in Patients with ANCA-Associated Vasculitis Treated with Avacopan,87
894,"Randomized, Controlled, Double-Blind Trial on the Impact of Rosuvastatin on Sublinical Markers of Atherosclerosis in Patients with ANCA-Associated Vasculitis",157
895,Single Injection AAV2-hFGF18 Demonstrates Superior Safety and Efficacy over Repeat rhFGF18 Protein Injections in a Model of Induced Osteoarthritis,146
896,Vagus Nerve Stimulation Enhances Bone Morphology in a Rodent Model of Central Nervous System Inflammation,105
897,"The Analgesic Effect of RC-0165, a TRPV1 Antagonist, for Osteoarthritis Pain",76
898,Role of CRTAC1 as a Biomarker of Osteoarthritis,47
899,Phenotype and Energy Metabolism Differ Between Osteoarthritic Chondrocytes from Male Compared to Female Patients,112
900,Proteomic Analysis of Circulating Neutrophils from Osteoarthritis Patients Shows Metabolic Dysregulation That Is Associated with Decreased Physiologic Apoptosis,160
901,Reactive Oxygen Species-scavenging Nanoparticles Target Macrophage Polarization for Osteoarthritis Therapy,106
902,A Novel 3D-Synovium-Immune Microenvironment Mimics Macrophage-Synovial Fibroblast Interactions in Inflammatory Arthropathies,124
903,"Pentosan Polysulfate Sodium, a Glycosaminoglycan Mimetic Demonstrates Durable Effects on Pain, Function and Joint Structure in Canine Naturally Occurring Osteoarthritis",168
904,Enhancing Oxidative Phosphorylation Through PDK2 Depletion Alleviates Cartilage Degradation in Surgically Induced Osteoarthritis,128
905,Clinical Impact of PTEN as a Marker for Diabetes-Associated Osteoarthritis,74
906,Targeting Peroxisome Proliferator-Activated Receptor α Is a Disease-Modifying Therapy for Osteoarthritis,104
907,"Mitochondrial Transfer Functionally Restores the Human Osteoarthritis (OA) Chondrocyte, Is Protective Against Oxidative Stress and Improves OA in a Clinical Model of Disease",173
908,Synovial 5-LOX-Derived Oxylipins Define a B Cell-Enriched Synovium,66
909,FOXO Activators as Drugs for Osteoarthritis,43
910,RNA-Binding Proteins That Are Highly Expressed and Enriched in Healthy Cartilage but Suppressed in Osteoarthritis,113
911,"INV-1498, a Promising Caspase Inhibitor, Exhibits Dose-dependent Therapeutic Efficacy in a Canine Model of Osteoarthritis",121
912,Metabolomic Analysis Reveals Associations Between Calcium Crystals and Metabolites in Osteoarthritic Synovial Tissue,116
913,Loss of Transient Receptor Potential Channel 1 (TRPC1) Links Regulation of Intracellular Calcium to Cellular Senescence and Leads to Development of Osteoarthritis,162
914,Synovial Fibroblasts Undergo a Phenotypic Shift from Early- to Late-stage Knee Osteoarthritis,93
915,Recommendations for a Standardized Approach to Histopathologic Evaluation of Synovial Membrane in Murine Models of Experimental Osteoarthritis,142
916,CD14 Inhibition as a Potential Therapeutic in Post Traumatic OA,63
917,Deficiency of the Pattern-recognition Receptor CD14 Protects Against LPS-induced Inhibition of Osteoclastogenesis in Vitro,122
918,Activation of Ovarian Cancer G-Protein Coupled Receptor (OGR1) Attenuates Chondrocytes Inflammation via ERK1/2 Signaling Pathways in an in Vitro Model of Osteoarthritis,168
919,The Role of Plasmin and Fibrinolysis Pathways in Osteoarthritis,63
920,Identification of a Mast Cell-high Synovial Pathotype of Osteoarthritis,71
921,Mice Fed a Well-formulated Ketogenic Diet After OA Induction Develop Worse OA Outcomes and Increased Pain Sensitivity,117
922,Neonatal Roseolovirus Infection Predisposes to Development of Lupus-like Disease After TLR7 Stimulation,103
923,Dapagliflozin Modulates Inflammation and Germinal Centers in Lupus by Increasing Regulatory T Cells,99
924,Functionally Selective Immunomodulator Shows Robust Efficacy in Spontaneous Lupus Mouse Model,93
925,Axl Receptor Tyrosine Kinase Ameliorates Pristane Induced Diffuse Alveolar Hemorrhage in Mice by Regulating Macrophage Polarization,131
926,Specificity of Brain-Intrinsic and Hematopoietic-Derived Mechanisms in Mediating Neuropsychiatric Symptoms of Systemic Lupus Erythematosus,138
927,Selective and Potent Inhibition of Cyclic GMP-AMP Synthase (cGAS) Fully Normalizes Autoinflammation Across Tissues in a Trex1-/- Mouse Model for Type I Interferonopathies,170
928,Single-Cell RNA Sequencing Reveals Keratinocytes and Fibroblasts Drive Hippo and TGFb Dysregulation and Fibrosis in Epidermal Overexpression of VGLL3 in Cutaneous Lupus,168
929,Involvement of Type I Interferon-responsive Myeloid Cells in Renal Inflammation in a Lupus Mouse Model,102
930,The Cellular and Spatial Type I Interferon Response Following Skin Exposure to Ultraviolet Light,96
931,Lipocalin-2 Promotes Cutaneous and Neuropsychiatric Disease in Murine Lupus,75
932,"Targeting Toll-Like Receptor 7 with DS-7011a, a Promising Novel Antagonistic Antibody for the Treatment of Systemic Lupus Erythematosus",135
933,"Steroid-sparing Effects of Afimetoran (BMS-986256), an Equipotent Toll-like Receptor (TLR)7 and TLR8 Antagonist, in a Lupus Mouse Model",135
934,The Role of the Endothelin System in the Development of TLR7-accelerated Lupus-Associated Cardiac Dysfunction,109
935,Complement Factor I (CFI) Gene Expression by Kidney Tubular Cells Is Increased in Lupus Nephritis Patients with Interstitial Fibrosis and Tubular Atrophy,153
936,Complement Deposition on Extracellular Mitochondria Induces Platelet Activation in Vitro,88
937,Scavenging of Isolevuglandins Attenuates Neutrophil Expansion and Aortic NETosis in Systemic Lupus Erythematosus,112
938,Neutrophils in Systemic Lupus Erythematosus Demonstrate Heterogeneity Based on Sex,82
939,Effects of Hydroxychloroquine on Maternal Outcomes in Pregnant Patients with Systemic Lupus Erythematous,104
940,"KYV-101, a Fully Human Anti-CD19 CAR T Cell Therapy, Demonstrates CAR-Mediated and CD19-Dependent Activity Against Autologous B Cells from Patients with Autoimmune Disease",171
941,Low-Density Granulocytes and Neutrophil Extracellular Traps in Incomplete Systemic Lupus Erythematosus,102
942,Paired Autoantibody Specificities from Serum and Immune Complexes Do Not Fully Explain the Circulating Immune Complex Load in Systemic Lupus Erythematosus: A Study on 530 Patients,179
943,Epstein Barr Virus Reactivation May Associate with Transition from Incomplete to Systemic Lupus Erythematosus,109
944,Association of Biologic Sex with Glycosphingolipids and the N-glycome in Lupus Nephritis and Renal Mesangial Cell Function,122
945,Rab4A Controls the Depletion of IL-2 in CD4+ T Cells via Enhanced CD38 Expression: Potential Involvement in Proinflammatory Lineage Development in Systemic Lupus Erythematosus,175
946,17β-estradiol and B-cell Intrinsic Type I Interferon Amplify Toll-like Receptor 7 Signaling Loop in B Cells of Female Lupus Prone BXD2 Mice,139
